Date, Baseline , Weighted benchmark , Benchmark , Variance , EPDM USA , Carbon Black CHINA , Energy 
2019-01, 1.0002 , 1.0196 , 1.0577 ,-0.0195 , 1.0276 , 1.0343 , 1.1503 
2019-02, 1.0004 , 1.0215 , 1.0633 ,-0.0214 , 1.0505 , 1.0157 , 1.1307 
2019-03, 1.0013 , 1.0125 , 1.0368 ,-0.0121 , 1.0339 , 1.0086 , 1.0654 
2019-04, 1.0000 , 1.0000 , 1.0000 , -0.000 , 1.0000 , 1.0000 , 1.0000 
2019-05, 0.9991 , 0.9931 , 0.9798 , 0.0066 , 0.9818 , 0.9682 , 0.9837 
2019-06, 0.9986 , 0.9858 , 0.9583 , 0.0137 , 0.9503 , 0.9293 , 1.0000 
2019-07, 0.9999 , 0.9757 , 0.9286 , 0.0242 , 0.8987 , 0.9025 , 1.0229 
2019-08, 1.0016 , 0.9784 , 0.9366 , 0.0221 , 0.9091 , 0.9002 , 1.0327 
2019-09, 1.0040 , 0.9799 , 0.9410 , 0.0214 , 0.9234 , 0.9079 , 1.0098 
2019-10, 1.0046 , 0.9692 , 0.9094 , 0.0323 , 0.8820 , 0.9062 , 0.9804 
2019-11, 1.0024 , 0.9682 , 0.9065 , 0.0326 , 0.8919 , 0.9047 , 0.9444 
2019-12, 1.0008 , 0.9674 , 0.9042 , 0.0329 , 0.8906 , 0.8959 , 0.9444 
2020-01, 1.0040 , 0.9623 , 0.8891 , 0.0391 , 0.8721 , 0.8850 , 0.9346 
2020-02, 1.0066 , 0.9628 , 0.8907 , 0.0394 , 0.8758 , 0.8598 , 0.9510 
2020-03, 1.0092 , 0.9609 , 0.8851 , 0.0422 , 0.8688 , 0.8344 , 0.9641 
2020-04, 1.0094 , 0.9541 , 0.8650 , 0.0491 , 0.8419 , 0.7966 , 0.9739 
2020-05, 1.0089 , 0.9476 , 0.8459 , 0.0554 , 0.8284 , 0.7772 , 0.9412 
2020-06, 1.0079 , 0.9384 , 0.8190 , 0.0642 , 0.8297 , 0.7597 , 0.8366 
2020-07, 1.0064 , 0.9208 , 0.7669 , 0.0814 , 0.7930 , 0.7529 , 0.7124 
2020-08, 1.0079 , 0.9113 , 0.7392 , 0.0914 , 0.7792 , 0.7463 , 0.6340 
2020-09, 1.0086 , 0.9169 , 0.7557 , 0.0860 , 0.8052 , 0.7354 , 0.6471 
2020-10, 1.0075 , 0.9255 , 0.7808 , 0.0771 , 0.8385 , 0.7014 , 0.6961 
2020-11, 1.0064 , 0.9259 , 0.7819 , 0.0763 , 0.8307 , 0.6771 , 0.7386 
2020-12, 1.0062 , 0.9247 , 0.7784 , 0.0774 , 0.8253 , 0.6625 , 0.7484 
2021-01, 1.0165 , 0.9299 , 0.7937 , 0.0758 , 0.8435 , 0.6796 , 0.7549 
2021-02, 1.0259 , 0.9319 , 0.7997 , 0.0769 , 0.8453 , 0.6945 , 0.7647 
2021-03, 1.0351 , 0.9424 , 0.8305 , 0.0696 , 0.8758 , 0.7105 , 0.8072 
2021-04, 1.0345 , 0.9561 , 0.8710 , 0.0556 , 0.9146 , 0.7234 , 0.8725 
2021-05, 1.0421 , 0.9750 , 0.9265 , 0.0393 , 0.9557 , 0.8095 , 0.9412 
2021-06, 1.0486 , 0.9956 , 0.9871 , 0.0209 , 1.0089 , 0.9102 , 0.9902 
2021-07, 1.0544 , 1.0119 , 1.0350 , 0.0066 , 1.0466 , 1.0257 , 1.0131 
2021-08, 1.0529 , 1.0291 , 1.0855 ,-0.0111 , 1.1107 , 1.0635 , 1.0392 
2021-09, 1.0537 , 1.0522 , 1.1534 ,-0.0339 , 1.2042 , 1.0755 , 1.0850 
2021-10, 1.0576 , 1.0732 , 1.2152 ,-0.0536 , 1.2831 , 1.0801 , 1.1471 
2021-11, 1.0802 , 1.0785 , 1.2308 ,-0.0512 , 1.2859 , 1.1021 , 1.1895 
2021-12, 1.1003 , 1.0908 , 1.2671 ,-0.0567 , 1.3159 , 1.1296 , 1.2484 
2022-01, 1.1198 , 1.1158 , 1.3406 ,-0.0751 , 1.3927 , 1.1505 , 1.3529 
2022-02, 1.1256 , 1.1264 , 1.3718 ,-0.0837 , 1.4122 , 1.1573 , 1.4314 
2022-03, 1.1472 , 1.1419 , 1.4173 ,-0.0918 , 1.4630 , 1.1936 , 1.4706 
2022-04, 1.1655 , 1.1588 , 1.4670 ,-0.1025 , 1.5323 , 1.2403 , 1.4739 
2022-05, 1.1873 , 1.1682 , 1.4949 ,-0.1046 , 1.5409 , 1.2866 , 1.5359 
2022-06, 1.2014 , 1.1822 , 1.5359 ,-0.1137 , 1.5432 , 1.2981 , 1.6961 
2022-07, 1.2207 , 1.1940 , 1.5705 ,-0.1189 , 1.5565 , 1.3235 , 1.7908 
2022-08, 1.2317 , 1.2008 , 1.5906 ,-0.1220 , 1.5526 , 1.3415 , 1.8725 
2022-09, 1.2345 , 1.2092 , 1.6153 ,-0.1295 , 1.5768 , 1.3830 , 1.8856 
2022-10, 1.2349 , 1.2185 , 1.6426 ,-0.1386 , 1.5951 , 1.4027 , 1.9412 
2022-11, 1.2354 , 1.2225 , 1.6545 ,-0.1425 , 1.5846 , 1.4225 , 2.0033 
2022-12, 1.2358 , 1.2163 , 1.6362 ,-0.1362 , 1.5599 , 1.4188 , 1.9902 
2023-01, 1.2309 , 1.2050 , 1.6029 ,-0.1265 , 1.5297 , 1.4088 , 1.9314 
2023-02, 1.2271 , 1.1920 , 1.5648 ,-0.1148 , 1.5042 , 1.3999 , 1.8399 
2023-03, 1.2232 , 1.1826 , 1.5371 ,-0.1067 , 1.4779 , 1.3916 , 1.7941 
